RECEITA,INGREDIENTES,URL SITE,YOUTUBE,TEMPO,DIFICULDADE,CATEGORIAS
New England Clam Chowder,"Cebolinho  Amêijoas:, Azeite   chalota,  dentes de alho, kg de amêijoas,  ramo de salsa,  copo de vinho branco,  batatas, Água fria, Tomilho   folha de louro, Sal  Base da sopa:,  cebola,  pedaço de alho francês,  pedaço de bacon,  c. sopa de azeite, Sal   c. sopa de manteiga, g de farinha, ml de leite, ml de natas",https://www.24kitchen.pt/receita/new-england-clam-chowder,https://youtu.be/YZ4Za5NeYJg,60,dificil,Prato Principal
Bacon Cheeseburger," cebola, Azeite  Pedaço de bacon, Carne de picanha picada, Pimenta preta moída  Queijo cheddar maturado, Alface  Pão para hambúrguer, Compota de tomate cereja:,  chalota,  alho, Tomate cereja   c. de sopa de azeite,  c. e meia de sopa de açúcar,  ramo de manjericão, Sal   c. de chá de vinagre, Maionese de alho assado:,  dentes de alho assados,  ovo,  c. chá de mostarda dijon,  c. de sopa de sumo de limão, Sal  Óleo q.b",https://www.24kitchen.pt/receita/bacon-cheeseburger,https://youtu.be/nfQQbsVhXpA,45,média,Prato Principal
Pecan Pie," ovo, Natas batidas, Massa:, g de farinha,  c. e meia de chá de açúcar,  c. chá de sal, g de manteiga gelada em cubos,  c. de sopa de água gelada, Farinha  Recheio:, g de noz pecan, g de açúcar mascavado escuro, g de xarope de acer, g de manteiga derretida,  c. e meia de sopa de melaço,  c. e meia de chá de extrato de baunilha,  ovos,  c. chá de sal",https://www.24kitchen.pt/receita/pecan-pie,https://youtu.be/nsl2-DkTvGA,180,dificil,Sobremesa
Croquetas de Jamón ,"Farinha   ovo batido, Panko  Óleo  Leite de pata negra:, g de ossos de pata negra,  folha de louro,  cebola,  dente de alho, Bechamel:, g de manteiga, g de farinha, ml de leite de pata negra,  ou  c. de sopa de presunto picado, ml de natas,  dente de alho,  folhas de gelatina",https://www.24kitchen.pt/receita/croquetas-de-jamon,https://youtu.be/ET6nrGABSkc,45,média,"Aperitivos e Petiscos, Prato Principal"
Tortilla de Bacalhau,"Tortilha:,  batata, Azeite  Bacalhau   ovos,  ramo de salsa, Sal   pimento,  cebola,  dentes de alho, Bacalhau no forno:, Lombo de bacalhau, Cebola  Tomilho   dente de alho esmagado, Azeite  Pimenta preta moída q.b",https://www.24kitchen.pt/receita/tortilla-de-bacalhau,https://youtu.be/j1CF5_j5jXo,45,média,Prato Principal
Fabada à Lisboeta,"Espinafres  Azeite   alho, Fabada:, kg de feijão branco demolhado,  cebola,  cenoura,  ramo de aipo, g de barriga de porco fumada,  morcela,  ramo de salsa,  dentes de alho,  c. chá de pimentão doce, Água  Azeite  Sal   chouriço,  ramo de tomilho, Açafrão em fio  Espinafres, Puré de feijão branco",https://www.24kitchen.pt/receita/fabada-a-lisboeta,https://youtu.be/kI0tBOZsOHU,45,média,Prato Principal
Bouillabaise," cebola,  alho francês, Azeite   dentes de alho, Sal   c. de sopa de concentrado de tomate,  tomates, Vinho branco   estrela de anis,  bouquet garni,  alho francês,  folhas de louro,  cascas de laranja,  malagueta,  ramo de salsa, ml de caldo de peixe, Cantaril, Tamboril, Peixe galo, Mexilhões, Camarões, Pimenta preta moída   c. chá de açafrão, Torrada com baguete, Maionese,  batata cozida,  gema de ovo, Malagueta   dente de alho, Sumo de limão   a  c. sopa de azeite, Bouquet garni,  alho francês,  folhas de louro,  cascas de laranja,  malagueta,  ramo de salsa",https://www.24kitchen.pt/receita/bouillabaise,https://youtu.be/PRbfQky12sI,60,dificil,Prato Principal
Bife Tártaro à la Sá Pessoa,"g de lombo de novilho,  chalota,  cornichon,  c. de sopa de alcaparras,  ramo de salsa,  gema, Azeite  Folhas e alga nori, Flor de sal  Pimenta preta moída   c. chá de mostarda dijon,  c. chá de molho inglês, Picante  Batata palha",https://www.24kitchen.pt/receita/bife-tartaro-a-la-sa-pessoa,https://youtu.be/xXCCasPW5Kw,45,média,Prato Principal
Tarte Tatin ," maças golden, g de açúcar, g de manteiga,  c. sopa de moscatel,  vagem de baunilha,  pau de canela, g de massa folhada, Farinha   ovo",https://www.24kitchen.pt/receita/tarte-tatin,https://youtu.be/tqJ4LuxBcbg,180,dificil,Sobremesa
Fish & Chips ,"Pescada, Farinha  Óleo   batata, Puré de ervilhas:,  chalota,  dente de alho, Azeite  Manteiga  g de ervilhas, Sal   ramo de hortelã, Pimenta preta moída  Molho tártaro:,  chalota, Cebolinho   ramo de salsa,  cornichons,  c. sopa de alcaparras,  c. e meia de sopa de sumo de limão,  c. sopa de maionese, Sal  Pimenta preta moída  Polme:, g de farinha de trigo,  c. chá de bicarbonato de sódio, g de amido de milho, Cerveja q.b",https://www.24kitchen.pt/receita/fish-chips,https://youtu.be/n-qrpD6U4HU,60,dificil,Prato Principal
Bangers and Mash," ramo de alecrim, Puré de batata,  batatas,  dente de alho esmagado, Água  Sal   ramo de salva, Cebolinho   c. sopa de manteiga, Salsichas,  salsichas gordas, Azeite  Manteiga  Alecrim   dente de alho esmagado, Molho,  cebola, Azeite  Sal   c. chá de açúcar, Manteiga   c. sopa de vinagre balsâmico,  c. de chá de molho inglês, ml de caldo de carne,  c. chá de mostarda dijon",https://www.24kitchen.pt/receita/bangers-and-mash,https://youtu.be/MrfMMu20YZg,60,dificil,Prato Principal
Apple Crumble,"g de framboesas, Maçã,  maçãs reineta,  cubos de manteiga,  c. sopa de açúcar mascavado escuro,  paus de canela, Vinho do Porto  Crumble, g de manteiga gelada,  c. sopa de farinha, g de açúcar mascavado escuro, g de aveia, g de nozes,  c. chá de sal,  c. chá e canela em pó",https://www.24kitchen.pt/receita/apple-crumble,https://youtu.be/27bIiNVsPK0,45,média,Sobremesa
Focaccia de Cebola Caramelizada ," dentes de alho, Azeite  Tomates cereja   ramo de alecrim, Flor de sal  Tomilho, Massa da focaccia, ml de água morna, g de fermento de padeiro seco, g de farinha, g de açúcar, ml de azeite, Sal  Cebola caramelizada,  cebola,  ou  c. sopa de azeite,  c. chá de açúcar",https://www.24kitchen.pt/receita/focaccia-de-cebola-caramelizada,https://youtu.be/R9WLfekYDk0,45,média,Prato Principal
Risotto de Cogumelos ,"Puré de cogumelos,  chalota,  dente de alho, g de cogumelos , Sal  ml de vinho branco, l de caldo de legumes,  c. sopa do puré de cogumelos, Parmesão ralado  Cebolinho picado  Pimenta preta moída q.b",https://www.24kitchen.pt/receita/risotto-de-cogumelos,https://youtu.be/4iQbrcLA8-8,45,média,Prato Principal
Panna cotta de Frasco,"Framboesas  Panacotta, ml de leite de cabra, ml de natas,  vagem de baunilha, g de açúcar,  folhas de gelatina, Calda, g de açúcar, ml de água, Flores de alfazemas   tangerinas",https://www.24kitchen.pt/receita/pannacotta-de-frasco,https://youtu.be/NezwY2e_eBI,45,média,Sobremesa
Espetadas e Frango com Molho Tzatziki," courgette verde,  courgette amarela,  limão, Azeite  Marinada,  peito de frango sem pele,  c. sopa de iogurte grego,  dentes de alho,  c. chá de raspa de limão, Sumo de  limão grande, Folhas de oregãos frescos, Sal fino  Pimenta preta moída   c. sopa de azeite, Molho Tzatziki,  c. sopa de iogurte grego,  c. chá de raspas de limão,  dente de alho grande,  c. sopa de sumo de limão,  c. chá de mel, Pimenta preta moída  Sal   ramo de coentros,  ramo de hortelã,  pepino",https://www.24kitchen.pt/receita/espetadas-e-frango-com-molho-tzatziki,https://youtu.be/mCs4bSmLSME,45,média,Prato Principal
Peixe ao Sal com Batata Assada e Azeitonas ," dourada com escamas, kg de sal, g de sal fino, g de pasta de azeitona preta,  clara de ovo,  ramo de salsa, g de batata cozida, g de azeitona kalamata, g de tomate cereja, Oregãos frescos  Sal  Pimenta preta moída   limão, Molho,  limão,  dentes de alho,  c. chá de paprica,  molho de salsa,  c. sopa de azeite",https://www.24kitchen.pt/receita/peixe-ao-sal-com-batata-assada-e-azeitonas,https://youtu.be/X5gyzhLhiwc,45,média,Prato Principal
Bolo de Nozes e Laranja ,"Laranja  Massa, g de manteiga amolecida, g de açúcar,  gemas,  claras,  c. sopa de vinho da madeira, Raspa de  laranja,  c. chá de canela em pó, g de nozes, g de farinha, Calda, Casca de  laranja, g de açúcar,  pau de canela,  cravinhos,  c. sopa de licor de laranja,  ramo de tomilho, ml de água",https://www.24kitchen.pt/receita/bolo-de-nozes-e-laranja,https://youtu.be/p34DP9ML_kc,45,média,Sobremesa
Couscous de Legumes ," pimento vermelho,  cebola roxa,  courgette,  beringela, Azeite   ramo de hortelã,  c. chá de piripiri,  c. chá de rasel harout, Sal   c. sopa de tomate triturado, g de grão, ml de caldo de legumes, Iogurte  Amêndoas  Canela em pó   ramo de coentros, Cuscuz, g de cuscuz,  c. chá de azeite,  ramo de hortelã,  ramo de coentros, Sal  Pimenta preta moída   c. chá de raspa de limão, Água ou caldo q.b",https://www.24kitchen.pt/receita/couscous-de-legumes,https://youtu.be/gxN6ODd0lYA,45,média,Prato Principal
Chermoula de Peixe,"Corvina,  tomate,  chalota,  dentes de alho, Azeite   pimentos assados,  c. chá de gengibre ralado, Sal  Caldo de legumes   c. sopa de amêndoas tostadas, Broccolini   limão, Chermoula,  dentes de alho, Gengibre   c. chá de paprica,  c. chá de cominhos,  c. chá de piripiri, Açafrão em fio   molho de coentros,  molho de salsa,  ramo de hortelã,  c. chá de raspa de limão,  c. sopa de azeite",https://www.24kitchen.pt/receita/chermoula-de-peixe,https://youtu.be/vUI6XeTfFJE,60,dificil,Prato Principal
Ktefa,"Massa brique, Manteiga   laranja, Canela em pó  Folhas de hortelã  Creme Inglês, ml de leite gordo ou meio gordo, g de açúcar,  gemas de ovo,  c. chá de flor de laranjeira, Recheio de amêndoas, g de amêndoas tostadas, g de açúcar em pó,  c. chá de canela",https://www.24kitchen.pt/receita/ktefa,https://youtu.be/lkLSUlpc1fo,45,média,Prato Principal
Falafel de Cenoura e Grão,"g de feijão verde, Sal  Óleo  Azeite   dentes de alho, Pimenta preta moída  Sumo de limão  Falafel, g de grão demolhado por h,  dentes de alho, Coentros   c. chá de coentros em pó,  c. chá de cominhos,  c. chá de paprica, g de cenoura ralada,  c. sopa de farinha de grão, Sal   c. chá de fermento, Molho,  c. sopa de iogurte grego,  c. sopa de tahini,  dentes de alho ralados,  c. sopa de sumo de limão, Sal  Pimenta preta moída q.b",https://www.24kitchen.pt/receita/falafel-de-cenoura-e-grao,https://youtu.be/Cz99ZOrHj3w,60,dificil,Prato Principal
Pita Shoarma de Novilho,"Carne de novilho  Pão Pita,  c. sopa de tomate cortado em cubos,  c. de sopa de pepino cortado em cubos,  dente de alho ralado,  c. de sopa de salsa picada, Sumo de limão   c. de chá de sumac, Sal  Pimenta preta moída  Molho tahini  Marinada,  c. chá de piripiri,  c. chá de coentros,  c. chá de canela,  c. cá de paprica,  c. chá de cravinho,  c. chá de açafrão da índias,  c. de sopa de azeite,  c. de sopa de vinagre de vinho branco,  cebola laminada,  c. de sopa de sumo de limão",https://www.24kitchen.pt/receita/pita-shoarma-de-novilho,https://youtu.be/vdea53Dc0dg,45,média,Prato Principal
Frango Sumac com Legumes Assados ," coxas de frango com pele, Sal   limão, Azeite   couve-flor,  dentes de alho,  ramo de alecrim,  ramo de tomilho, g de cenouras bebés, Pimenta preta moída  Marinada,  c. sopa de sumac,  c. chá de pimentão doce,  c. chá de açúcar mascavado escuro,  c. de sopa de azeite",https://www.24kitchen.pt/receita/frango-sumac-com-legumes-assados,https://youtu.be/pxhYEK6Plbw,45,média,Prato Principal
Salada de Manga," manga verde,  pimento vermelho, Água com gelo,  pedaços de tofu frito, Rebentos de soja  Rebentos de rabanete   molho de coentros,  molho de manjericão,  c. sopa de amendoins torrados, Molho,  chalota,  dentes de alho, Sumo de  limas,  malagueta,  c. de chá de talos de coentros,  c. de sopa de açúcar mascavado escuro,  c. de sopa de molho de peixe,  c. de sopa de água",https://www.24kitchen.pt/receita/salada-de-manga,https://youtu.be/JcdS1_Mdd5g,30,fácil,"Saladas, Prato Principal"
Thom Kha Gai," c. chá de óleo, ml de caldo de galinha, ml de leite de coco,  peito de frango, Sal  g de cogumelos asiáticos,  malagueta,  cebolo,  ramo de coentros, Tomates cereja  Pasta,  chalota,  dentes de alho,  folhas de lima keffir,  pedaço de lemon grass,  c. sopa de talos de coentros,  malagueta,  fatias de galanga, Molho, Sumo de  lima,  c. sopa de açúcar mascavado escuro,  c. sopa de molho de peixe",https://www.24kitchen.pt/receita/thom-kha-gai,https://youtu.be/d7sMBWCMsSU,45,média,Prato Principal
Arroz Doce de Coco e Banana," banana, Açúcar em pó  Coco desidratado laminado, Sementes de sésamo  Flôr de sal  Raspas de lima  Arroz doce, ml de leite de coco, ml de leite gordo,  erva príncipe,  vagem de baunilha, g de arroz carolino, Metade de  banana, g de açúcar mascavada escuro,  gemas",https://www.24kitchen.pt/receita/arroz-doce-de-coco-e-banana,https://youtu.be/PBiGLuQMpJc,45,média,Sobremesa
Sopa Miso,"g de alga kombu, ml de água fria, g de katsuobushi , Alga wakame  Água quente  g de cogumelos shitake, g de tofu, Cebolo   c. de sopa de miso, Sementes de sésamo q.b",https://www.24kitchen.pt/receita/sopa-miso,https://youtu.be/uw4bUEggk9Y,45,média,Sopas e Cremes
Sushi Bowl,"g de arroz sushi, Água  Sal  Alga kombu   c. de sopa de vinagre sushi,  cebola roxa, Talos de coentros  Gengibre em pickle  g de lombo de atum,  cebolo,  molho de coentros,  c. sopa de soja, Pimenta togarashi  Sumo de lima   abacate, Alga Nori q.b",https://www.24kitchen.pt/receita/sushi-bowl,https://youtu.be/bSU63Jklk9E,45,média,Prato Principal
Panquecas Souflé Japonesas ," c. e meia de sopa de leite,  c. chá de essência de baunilha,  gemas,  c. sopa de açúcar,  claras, g de açúcar, g de cake flour,  c. chá de fermento, Óleo  Chantilly  Frutos vermelhos  Mapple Syrup  Açúcar em pó q.b",https://www.24kitchen.pt/receita/panquecas-soufle-japonesas,https://youtu.be/ICUie_oShZI,30,fácil,Pequeno-almoço e Brunch
Arroz Frito Chinês," ovo,  c. chá de molho de soja, Óleo de amendoim   cenoura,  cebola,  dente de alho e meio, g de bacon,  c. chá de gengibre,  ramas de cebolo,  couve pak choi, Arroz jasmim cozido, Sal   c. sopa de molho de soja,  c. chá de molho de ostra, Óleo de sésamo  g de ervilhas descongeladas",https://www.24kitchen.pt/receita/arroz-frito-chines,https://youtu.be/_IgcKrYL76k,30,fácil,Acompanhamento
Frango Sichuan," c. chá de pimenta sichuan,  peito de frango, Sal   c. sopa de molho de soja,  c. chá de vinho chinês, Azeite   cenoura,  pimento vermelho,  ramas de cebolo, Óleo de amendoim   c. chá de açúcar,  c. chá de vinagre, Picante chinês  Arroz, Molho,  c. chá de amido de milho,  c. sopa de água",https://www.24kitchen.pt/receita/frango-sichuan,https://youtu.be/7MA1uT08Qww,45,média,Prato Principal
Bolo de Chocolate e Five-Spice,"g de chocolate negro, g de cubos de manteiga,  c. sopa de cacau em pó,  ovo,  c. chá de five spice , g de farinha de avelã, g de açúcar, Manteiga  Cacau  Molho, ml de natas, g de chocolate negro, g de creme de avelã,  c. sopa de vinho da madeira",https://www.24kitchen.pt/receita/bolo-de-chocolate-e-five-spice,https://youtu.be/paCDC6I6XUY,45,média,Sobremesa
Chamuça de Legumes ,"Água  Farinha  Massa de chamuça ou spring roll, Óleo  Recheio,  de cebola,  c. chá de talos de coentros,  batatas cozidas,  malagueta verde,  c. sopa de ghee,  c. chá de sementes de cominhos,  c. chá de sementes de mostarda,  c. chá de curcuma, Piripiri  Sal  g de ervilhas, Sumo de limão  Molho,  de molho de coentros,  folhas de hortelã,  c. de sopa de iogurte grego,  c. chá de sumo de limão, Sal  Pimenta preta moída q.b",https://www.24kitchen.pt/receita/chamuca-de-legumes,https://youtu.be/PK34V07j7NY,60,dificil,Aperitivos e Petiscos
Caril de Peixe ," c. de sopa de óleo,  estrelas de anis,  un. de cravinho,  paus de canela,  folha de louro,  cebola,  malagueta verde,  dentes de alho,  pedaço de gengibre, Sal  g de couve flor, g de corvina, Sumo de limão   c. chá de sementes de cominhos,  c. chá de curcuma,  c. chá de garam masala, g de tomate triturado, Caldo de legume   de molho de coentros",https://www.24kitchen.pt/receita/caril-de-peixe,https://youtu.be/Nhpt-8Zk2UE,45,média,Prato Principal
Thandai Kulfi,"g de pistachios, g de leite condensado, ml de leite evaporado, ml de natas,  sementes de cardamomo,  c. chá de canela, Raspa de  lima,  c. chá de sal, Óleo  Molho,  c. de sopa de iogurte grego,  folhas de hortelã, Sumo de  lima",https://www.24kitchen.pt/receita/thandai-kulfi,https://youtu.be/zoXQ6cgfNnE,45,média,Prato Principal
Meat Pie,"g de carne picada,  cebolas,  dentes de alho, Azeite,  folha de louro,  pimento verde, Sal  Caldo de carne   c. e meia e sopa de concentrado de tomate, Pimenta preta moída   c. de chá de pimentão doce,  ramo de tomilho,  c. de chá de molho inglês, ml de vinho branco, Massa folhada   ovo, Molho de carne, Puré de Ervilhas:, ½ cebola picada, g de ervilhas, Azeite   ramo de hortelã, Caldo de legumes   c. de sopa e manteiga, Molho inglês:,  c. de chá de pimentão doce,  c. de chá de pimenta cayenna,  pimento verde picado,  ramos de tomilho",https://www.24kitchen.pt/receita/meat-pie,https://youtu.be/sdEAYl3LCnE,60,dificil,Prato Principal
Garoupa com Legumes,"½ courgette, Cenouras babys   cebola roxa, Azeite  Sal   filetes de garoupa, Sal  Pimenta preta  Azeite   ramo de manjericão,  ramo de tomilho fresco, Molho holandês:,  gemas,  ovo,  c. de sopa de água, g de manteiga clarificada,  c. de chá de Mostarda Dijon, Sal   c. de chá de sumo de limão, Pimenta q.b",https://www.24kitchen.pt/receita/garoupa-com-legumes,https://youtu.be/J5qbNPymhYI,45,média,Prato Principal
Schnitzel,"Salada de Batata:,  batatas-doces roxas assadas,  cebola laminada,  c. de chá de mostarda antiga,  c. de sopa de vinagre de vinho branco, Sal  Pimenta  Cebolinho picado  ½ c. de sopa e meia de creme fraish, Schnitzel:,  lombos de porco, g de pão ralado,  ovos, g de farinha de trigo,  c. de sopa de manteiga, Óleo  Sal  Pimenta q.b",https://www.24kitchen.pt/receita/schnitzel,https://youtu.be/wP2txQbfhvc,45,média,Prato Principal
Sauerbraten,"kg de alcatra, ml de vinho tinto,  c. de sopa de vinagre de vinho tinto,  cenouras,  cebola,  dentes de alho, Sal grosso  Pimenta  Açúcar   ramo de alecrim,  ramo de tomilho,  folha de louro, Azeite  l de caldo de carne, Couve Roxa Salteada., g de couve roxa,  dente de alho,  cravinhos,  pau de canela, Vinho do porto   folha de louro, Sal  Pimenta q.b",https://www.24kitchen.pt/receita/sauerbraten,https://youtu.be/W8QnCndorQM,60,dificil,Prato Principal
Bolo Bundt,"g de manteiga c sal, g de queijo creme, g de açúcar,  ovos, g de farinha c fermento,  c. de sopa de açúcar baunilhado,  c. de sopa de essência de baunilha,  c. de sopa de vinho do porto branco, Sal  Açúcar em pó  Calda de limão e baunilha:, ml de água, g de açúcar,  pau de canela, Raspa de  limão,  vagem de baunilha, ml de vinho do Porto",https://www.24kitchen.pt/receita/bolo-bundt,https://youtu.be/iH80pp8NpI8,60,dificil,Sobremesa
Pizokel," alho francês, ½ cebola, Tiras de bacon   c. de sopa de manteiga, Couve  Espinafres  g de carne seca picada, Sal  Pimenta  Pizokel:, g de farinha de trigo sarraceno, ml de leite,  ovos, Sal  Pimenta q.b",https://www.24kitchen.pt/receita/pizokel,https://youtu.be/GBP5lyVrCoc,45,média,Prato Principal
Rösti com Vitela,"Azeite  g de lombo de vitela,  c. de sopa de manteiga clarificada, ½ chalota,  cogumelos paris,  c. de chá de farinha t, ml de vinho branco, ml de caldo de carne,  c. de chá de sumo de limão,  c. de sopa de natas, Sal  Pimenta preta   ramo de salsa, Batata-Rosti:,  batatas, Sal  Pimenta preta   c. de sopa de manteiga clarificada",https://www.24kitchen.pt/receita/rosti-com-vitela,https://youtu.be/q34DfecO0k0,45,média,Prato Principal
Nusstorte,"Farinha  Óleo   gema, Açúcar em pó  Gelado  Massa:, g de farinha, g de manteiga, g de açúcar, Raspa de  limão,  gema, Recheio:, g de açúcar, g de nozes, g de natas,  c. de sopa de mel",https://www.24kitchen.pt/receita/nusstorte,https://youtu.be/64RxdqZMl28,60,dificil,Sobremesa
Pyttipanna," batatas, g de aparas de novilho,  salsicha de porco, g de tiras de bacon,  cenoura grande, g de cogumelos frescos, ½ cebola, g de cogumelos shitake hidratados, Azeite   c. de sopa e meia de manteiga,  ramo de tomilho,  ovo, Sal  Pimenta preta  Pickle de beterraba",https://www.24kitchen.pt/receita/pyttipanna,https://youtu.be/itFUYH4tmB0,60,dificil,Prato Principal
Almôndegas,"Puré de batata  Cebolinho picado, Almondegas:, ½ cebola picada,  dentes de alho, g de carne de vaca picada, g de carne de porco picada,  c. de sopa de leite de soja,  ovo, Sal   c. de sopa de pão ralado, Azeite  Molho:, ½ cebola picada, g de manteiga,  c. de sopa de farinha, ml de caldo de carne,  folha de louro,  c. de chá de mostarda Dijon, Caldo de legumes  Sal  Pimenta  ml de natas, Feijão:, g de feijão verde, Azeite   dentes de alho",https://www.24kitchen.pt/receita/almondegas,https://youtu.be/Vr9aoaRzmyM,45,média,Prato Principal
Rolos de Canela,"Massa:, g de manteiga amolecida,  c. de sopa de açúcar, ml de leite morno, g de fermento de padeiro seco, g de farinha de trigo, Cardamomo em pó  Sal  Açúcar   gema, Recheio:, g de manteiga,  c. de chá de canela em pó,  c. de chá de cardamomo em pó,  c. de sopa de açúcar, Glacê:, g de açúcar em pó, Sumo de laranja q.b",https://www.24kitchen.pt/receita/rolos-de-canela-1,https://youtu.be/xbz8GH4Dsa8,60,dificil,Sobremesa
Hortobágyi," ramo de Salsa, Nata azeda  Estufado:, g de carne de novilho picada,  tomate fresco,  pimento vermelho, Azeite   cebola, Sal   dentes de alho,  c. de chá de paprika fumada, ½ c. de chá de paprika picante,  c. de sopa de concentrado de tomate,  ramo de tomilho, L de caldo de carne, Crepes:, g de farinha, ml de leite,  ovo, ml de água com gás, ½ c. de chá de paprika picante,  c. de sopa de nata azeda, Sal, Molho:, Molho da carne,  c. e meia de sopa e meia de nata azeda,  c. de sopa de farinha",https://www.24kitchen.pt/receita/hortobagyi,https://youtu.be/XgF8uB3hcdk,45,média,Prato Principal
Goulash,"kg de carne de novilho,  cebolas,  dentes de alho,  c. de chá de paprika,  ramo de tomilho,  folha de louro,  c. e meia de sopa de farinha,  c. de sopa de concentrado de tomate, L de caldo de carne,  tomate fresco, Sal   fatia de pão alentejano, Azeite q.b",https://www.24kitchen.pt/receita/goulash,https://youtu.be/zuzzBggcV-w,45,média,Prato Principal
Somlói Galuska,"g de sultanas, Vinho do porto  Açúcar em pó, Nozes  Sponge Cake:,  ovos,  c. de sopa de açúcar em pó, g de nozes,  c. de chá de fermento,  c. de sopa de cacau em pó, g de farinha, Creme de Baunilha:, ml de leite,  vagem de baunilha,  gemas,  c. de sopa de açúcar e pó,  c. de chá de amido de milho, Creme de Chocolate:, g de chocolate,  c. de sopa de vinho do porto, Chantilly:, g de natas,  c. de sopa de açúcar em pó, ½ c. de chá de raspa laranja",https://www.24kitchen.pt/receita/somloi-galuska,https://youtu.be/x0xCJSHR8cM,60,dificil,Prato Principal
Poutine," ramo de salsa,  cebola, Azeite  Sal   dente de alho, g de sobras de carne, Hash Browns:,  batata cozida, Sal  Pimenta  Farinha  Panko   ovo batido, Óleo  Molho-holandês:,  gemas, g de manteiga clarificada, Sumo de ½ limão,  c. de chá de mostarda Dijon, Sal  Pimenta q.b",https://www.24kitchen.pt/receita/poutine-1,https://youtu.be/ds83SxMVT6o,45,média,Prato Principal
Salmão com Maple Syrup,"g de filete de salmão, Marinada:, ½ c. de chá de cominhos em pó,  c. de sopa de xarope de ácer, Pimenta preta   malagueta verde,  c. de chá de gengibre ralado,  c. de sopa de azeite, Sumo de ½ limão, Sal  Cuscuz de Couve-Flor:, g de couve-flor,  chalota,  curgete, Azeite   limão, Sal  Pimenta  Cebolinho q.b",https://www.24kitchen.pt/receita/salmao-com-maple-syrup,https://youtu.be/kc73KkkMI84,45,média,Prato Principal
Red Velvet com Chocolate,"g de manteiga, g de açúcar,  ovos,  c. de chá de bicarbonato de sódio, ½ c. de chá de fermento, g de cacau em pó, Sal  g de farinha, g de leitelho, ½ c. de chá de colorante vermelho, Recheio:, g de chocolate branco, g de manteiga, g de queijo creme, ½ c. de chá de essência de baunilha, ½ c. de sopa de mel",https://www.24kitchen.pt/receita/red-velvet-com-chocolate,https://youtu.be/VvVHXFUkZGI,45,média,Sobremesa
Fish Tea,"l de caldo de peixe,  molho de coentros,  batatas,  inhame,  cebolo,  dourada,  banana da madeira verde,  ramo de salsa, Pesto:,  molho de coentros,  dentes de alho,  malagueta amarela,  c. de chá de sumo de limão,  c. de sopa de azeite",https://www.24kitchen.pt/receita/fish-tea,https://youtu.be/0XHHtuCr8iE,45,média,Prato Principal
Jerk Chicken," peitos de frango, Marinada:,  c. de chá de jalapanho seco,  c. de chá de canela,  c. de chá de açúcar mascavado,  c. e meia de chá de sal,  c. de sopa de talos de coentros,  dentes de alho, Pimenta cayenne  ½ c. de chá de pimenta preta, Sal   c. de sopa de azeite, Sumo e raspa de  lima, Molho:,  molho de coentros frescos,  tomate pelado,  c. de sopa de sumo de limão,  pedaços de jalapenho em conserva,  dente de alho, Arroz de feijão:,  cebola,  dentes de alho, Azeite  ½ chouriço,  chávena de arroz carolino, Sal   chávenas e meia de caldo de carne, ½ lata de feijão branco, g de espinafres baby",https://www.24kitchen.pt/receita/jerk-chicken,https://youtu.be/OtaN8vzK2zs,45,média,Prato Principal
Choripan,"Azeite,  salsichas frescas,  pães, Manteiga de Ervas:, g de manteiga,  dente de alho, g de salsa, Piri-piri  Sal  Chimicurri:,  cebola,  tomate s sementes,  talo de aipo,  ramo de manjericão,  c. de chá de orégãos secos,  dente de alho,  c. de sopa de azeite,  c. de chá de sal   c. de sopa de vinagre de Maçã q.b",https://www.24kitchen.pt/receita/choripan,https://youtu.be/QDsGszTWfyE,30,fácil,Prato Principal
Chupin de Pescada," filete de pescada,  tomate,  cebola, ½ pimento vermelho, ½ pimento amarelo,  dentes de alho,  c. de sopa de polpa de tomate,  ramo de salsa,  c. de chá de pimentão doce,  batatas pequenas, ml de vinho branco, ml de caldo de peixe, Sal  Azeite   lata de leite de coco",https://www.24kitchen.pt/receita/chupin-de-pescada,https://youtu.be/aBRsH9eKigI,45,média,Prato Principal
Tarte Sá Pessoa,"Chocolate preto  Panquecas:,  gemas,  claras, ½ c. de chá de essência de baunilha,  c. de chá de fermento,  c. de sopa de farinha de trigo, ml de leite,  c. de sopa de iogurte grego natural,  c. de sopa de açúcar, Sal  Doce de leite  Merengue Italiano:, ml de água, g de açúcar,  claras",https://www.24kitchen.pt/receita/tarte-sa-pessoa,https://youtu.be/Yt68t9X2jLc,45,média,Sobremesa
Caril de Castanhas,"g de castanha congelada, ml de caldo de legumes,  cebola,  dentes de alho,  c. de sopa de gengibre ralado,  c. de chá de caril em pó, ½ c. de chá de Curcuma, ½ c. de chá de pimentão doce, ½ c. de chá de coentros em pó,  bagos de cardamomo,  malagueta,  ramo de Coentros, ml de leite de coco, g de manga seca, g de arroz branco cozido, Azeite  Sal q.b",https://www.24kitchen.pt/receita/caril-de-castanhas,https://youtu.be/xyyWVX-TAEg,45,média,Prato Principal
Matapa,"g de camarão, g de folhas de couve,  tomate pelado e s sementes,  cebola,  dentes de alho, Azeite  ½ malagueta, Sal  Água ou caldo de camarão , ½ lima, Mapata:, g de amendoim torrado,  c. de sopa de água, ml de leite de coco, g de espinafres,  ramo de coentros",https://www.24kitchen.pt/receita/matapa,https://youtu.be/1m-FpFY4wd8,45,média,Prato Principal
